id,condition,rte,tp,lof,bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfio,bfic,bfie,bfia,bfin,maas1,maas2,maas3,maas4,maas5,maas6,maas7,maas8,maas9,maas10,maas11,maas12,maas13,maas14,maas15,maas_score,mwb1,mwb2,mwb3,mwb4,mwb5,mwb6,mwb7,mwb8,mwb9,mwb10,mwb11,mwb12,mwb13,mwb14,mwb_score,sleep1,sleep2,sleep3,sleep4,sleep5,sleep6,sleep7,sleep8,sleep_score,gender,age,eth (b = black; i = Indigenous; a = Asian; m = Middle Eastern; h = Native Hawaiin; l = Latino; w = White; o = Other; p = Prefer not to say)
1,2,900,7,8,5,4,2,3,4,3,2,4,4,4,6,8,4,8,7,4,5,4,2,5,3,4,3,4,4,1,5,1,4,6,55,3,2,3,3,2,3,3,3,4,3,4,4,5,3,45,1,1,0,2,2,0,0,1,7,f,19,l
2,3,510,4,3,2,5,2,1,1,3,2,4,5,2,7,8,7,9,10,2,2,3,1,2,4,3,4,2,4,2,2,2,3,2,38,4,3,3,4,2,3,2,4,3,3,2,4,4,4,45,1,2,1,2,3,0,2,0,11,f,19,w
3,1,756,4,5,2,4,4,3,4,5,4,3,4,2,4,5,9,6,7,6,3,4,4,6,6,5,4,5,5,4,6,3,4,4,69,3,4,3,4,3,3,4,5,4,4,4,3,5,4,53,1,0,1,2,2,0,1,0,7,m,18,p
4,1,1059,4,5,2,5,2,5,3,5,1,4,5,5,8,8,9,10,6,5,6,4,5,1,1,6,6,5,6,2,3,1,5,6,62,5,5,2,5,5,3,4,5,4,5,5,5,5,5,63,3,1,0,0,1,0,1,0,6,f,19,a
5,3,750,7,3,4,4,3,2,2,3,3,4,4,4,8,7,5,7,8,3,4,3,3,2,2,3,4,4,3,3,2,3,2,4,45,4,4,3,4,3,4,3,3,4,4,4,4,3,3,50,2,2,1,0,1,0,1,0,7,f,18,aw
6,2,600,5,3,1,2,1,1,5,4,2,3,5,4,5,8,9,6,10,3,6,2,1,6,4,4,5,1,2,2,5,1,3,4,49,4,4,2,5,3,3,2,4,5,3,4,5,5,4,53,1,2,1,0,3,0,3,0,10,f,18,w
7,2,690,4,6,3,2,1,4,3,4,2,3,2,1,4,8,7,6,4,2,6,5,3,3,2,3,3,2,4,3,6,2,4,3,51,4,5,3,3,4,3,4,3,3,4,3,3,2,3,47,1,1,0,2,1,0,0,0,5,f,18,w
8,1,600,3,6,2,5,1,2,3,5,3,5,1,5,8,10,9,8,5,6,3,5,1,6,1,5,6,5,2,5,6,2,5,6,64,5,5,1,4,2,5,5,5,2,5,5,4,1,2,51,2,0,0,0,3,0,0,0,5,m,21,wl
9,3,450,3,3,3,4,4,1,1,4,2,4,4,5,10,6,7,8,9,5,4,3,2,5,2,2,3,2,3,4,3,2,4,3,47,3,4,2,4,3,3,3,4,5,3,4,5,3,4,50,1,2,0,2,2,0,0,1,8,f,19,mw
10,3,900,3,5,4,4,2,5,4,5,2,5,3,4,6,9,7,8,4,4,5,4,5,5,3,4,5,5,5,4,5,5,3,5,67,4,4,3,4,4,5,4,4,4,4,4,4,5,4,57,2,2,1,0,1,0,0,0,6,f,19,w
