state,lat,long,pass1,pass2,pass3
AL,32.361538,-86.279118,2025-06-08T13:31:42Z,2025-06-08T21:40:42Z,2025-06-09T20:52:22Z
AK,58.301935,-134.41974,NA,NA,NA
AZ,33.448457,-112.073844,2025-06-08T15:04:33Z,2025-06-08T23:13:03Z,2025-06-09T15:52:48Z
AR,34.736009,-92.331122,2025-06-08T15:07:59Z,2025-06-08T21:39:19Z,2025-06-09T14:19:24Z
CA,38.555605,-121.468926,2025-06-08T16:40:24Z,2025-06-08T23:10:34Z,2025-06-09T15:52:04Z
CO,39.7391667,-104.984167,2025-06-08T15:06:50Z,2025-06-08T21:36:25Z,2025-06-09T15:54:55Z
CT,41.767,-72.677,2025-06-08T13:35:30Z,2025-06-08T20:04:40Z,2025-06-09T12:47:20Z
DC,38.913,-77.013,2025-06-08T13:34:20Z,2025-06-08T20:04:25Z,2025-06-09T12:46:10Z
DE,39.161921,-75.526755,2025-06-08T13:34:36Z,2025-06-08T20:04:36Z,2025-06-09T12:46:21Z
FL,30.4518,-84.27277,2025-06-08T13:31:36Z,2025-06-08T21:41:26Z,2025-06-09T12:43:21Z
GA,33.76,-84.39,2025-06-08T13:32:17Z,2025-06-08T21:40:47Z,2025-06-09T20:52:22Z
HI,21.30895,-157.826182,2025-06-08T03:09:52Z,2025-06-08T18:07:57Z,2025-06-09T17:19:27Z
ID,43.613739,-116.237651,2025-06-08T16:42:03Z,2025-06-08T21:33:53Z,2025-06-08T23:10:43Z
IL,39.78325,-89.650373,2025-06-08T15:09:08Z,2025-06-08T21:38:53Z,2025-06-09T14:20:38Z
IN,39.790942,-86.147685,2025-06-08T15:09:48Z,2025-06-08T21:39:33Z,2025-06-09T14:21:13Z
IA,41.590939,-93.620866,2025-06-08T15:08:44Z,2025-06-08T21:37:59Z,2025-06-09T14:20:24Z
KS,39.04,-95.69,2025-06-08T15:07:59Z,2025-06-08T21:37:59Z,2025-06-09T14:19:39Z
KY,38.197274,-84.86311,2025-06-08T21:40:00Z,2025-06-09T14:21:15Z,2025-06-09T20:51:30Z
LA,30.45809,-91.140229,2025-06-08T13:30:40Z,2025-06-08T21:40:25Z,NA
ME,44.323535,-69.765261,2025-06-08T13:36:26Z,2025-06-08T15:13:21Z,2025-06-08T18:28:01Z
MD,38.972945,-76.501157,2025-06-08T13:34:26Z,2025-06-08T20:04:31Z,2025-06-09T12:46:16Z
MA,42.2352,-71.0275,2025-06-08T13:35:51Z,2025-06-08T20:04:51Z,2025-06-09T12:47:36Z
MI,42.7335,-84.5467,2025-06-08T15:10:27Z,2025-06-08T20:02:32Z,2025-06-09T14:21:57Z
MN,44.95,-93.094,2025-06-08T15:09:27Z,2025-06-08T16:46:17Z,2025-06-08T20:00:47Z
MS,32.32,-90.207,2025-06-08T13:31:18Z,2025-06-08T21:40:08Z,2025-06-09T14:19:28Z
MO,38.572954,-92.189283,2025-06-08T15:08:28Z,2025-06-08T21:38:38Z,2025-06-09T14:20:03Z
MT,46.595805,-112.027031,2025-06-08T16:43:13Z,2025-06-08T18:20:03Z,2025-06-08T19:57:18Z
NE,40.809868,-96.675345,2025-06-08T15:08:09Z,2025-06-08T21:37:34Z,2025-06-09T14:19:54Z
NV,39.160949,-119.753877,2025-06-08T16:40:44Z,2025-06-08T23:10:44Z,2025-06-09T15:52:24Z
NH,43.220093,-71.549127,2025-06-08T13:36:00Z,2025-06-08T18:27:50Z,2025-06-08T20:04:40Z
NJ,40.221741,-74.756138000000007,2025-06-08T13:34:55Z,2025-06-08T20:04:35Z,2025-06-09T12:46:45Z
NM,35.667231,-105.964575,2025-06-08T15:05:45Z,2025-06-08T23:13:40Z,2025-06-09T22:25:10Z
NY,42.659829,-73.781339,2025-06-08T13:35:31Z,2025-06-08T15:12:31Z,2025-06-08T20:04:21Z
NC,35.771,-78.638,2025-06-08T13:33:31Z,2025-06-09T12:45:16Z,2025-06-09T20:52:56Z
ND,48.813343,-100.779004,2025-06-08T16:45:12Z,2025-06-08T18:22:07Z,2025-06-08T19:59:02Z
OH,39.962245,-83.000647,2025-06-08T15:10:27Z,2025-06-08T20:03:17Z,2025-06-09T14:21:47Z
OK,35.482309,-97.534994,2025-06-08T15:07:03Z,2025-06-08T21:38:23Z,2025-06-09T14:18:38Z
OR,44.931109,-123.029159,2025-06-08T18:17:53Z,2025-06-08T21:32:33Z,2025-06-08T23:09:23Z
PA,40.269789,-76.875613,2025-06-08T13:34:38Z,2025-06-08T20:04:13Z,2025-06-09T14:23:03Z
PR,18.2208,-66.5901,2025-06-08T11:55:29Z,2025-06-08T21:46:49Z,2025-06-09T11:06:59Z
RI,41.82355,-71.422132,2025-06-08T13:35:44Z,2025-06-08T20:04:49Z,2025-06-09T12:47:29Z
SC,34,-81.035,2025-06-08T13:32:50Z,2025-06-08T21:41:20Z,2025-06-09T12:44:35Z
SD,44.367966,-100.336378,2025-06-08T16:44:50Z,2025-06-08T19:59:40Z,2025-06-08T21:36:25Z
TN,36.165,-86.784,2025-06-08T13:32:36Z,2025-06-08T21:40:01Z,2025-06-09T14:20:36Z
TX,30.266667,-97.75,2025-06-09T14:17:41Z,2025-06-09T22:27:31Z,NA
UT,40.7547,-111.892622,2025-06-08T16:42:21Z,2025-06-08T23:11:51Z,2025-06-09T15:53:51Z
VT,44.26639,-72.57194,2025-06-08T13:36:02Z,2025-06-08T15:12:47Z,2025-06-08T18:27:32Z
VA,37.54,-77.46,2025-06-08T13:34:02Z,2025-06-08T20:04:37Z,2025-06-09T12:45:47Z
WA,47.042418,-122.893077,2025-06-08T18:18:08Z,2025-06-08T19:55:18Z,2025-06-08T21:32:18Z
WV,38.349497,-81.633294,2025-06-08T13:33:38Z,2025-06-08T20:03:48Z,2025-06-09T14:21:53Z
